date,u,v,uv
2016/03/01 00:00,5.53,-2.58,6.102237294632191
2016/03/01 01:00,11.84,-13.14,17.687430565234735
2016/03/01 02:00,15.35,-19.28,24.644287370504347
2016/03/01 03:00,17.28,-20.99,27.18783735422882
2016/03/01 04:00,17.93,-20.1,26.9350125301623
2016/03/01 05:00,16.4,-18.41,24.655386835334788
2016/03/01 06:00,12.73,-14.52,19.31018643100061
2016/03/01 07:00,6.78,-9.15,11.388191252345562
2016/03/01 08:00,-2.75,-1.43,3.0995806167931814
2016/03/01 09:00,-11.64,8.14,14.203844549980122
2016/03/01 10:00,-16.79,15.41,22.78973891908374
2016/03/01 11:00,-16.72,15.65,22.901547982614627
2016/03/01 12:00,-10.88,11.26,15.65764988751505
2016/03/01 13:00,1.74,1.45,2.2649724060129297
2016/03/01 14:00,15.25,-12.62,19.794617955393832
2016/03/01 15:00,18.53,-19.27,26.73375768574257
2016/03/01 16:00,19.5,-20.22,28.0908953221502
2016/03/01 17:00,17.44,-18.17,25.18536281255444
2016/03/01 18:00,13.91,-14.34,19.97808048837525
2016/03/01 19:00,8.94,-9.42,12.986916493148017
2016/03/01 20:00,0.68,-2.96,3.0371038836365147
2016/03/01 21:00,-8.22,4.97,9.605691021472635
2016/03/01 22:00,-13.55,12.28,18.286631729216836
2016/03/01 23:00,-14.51,14.27,20.3512407484163
2016/03/02 00:00,-10.82,11.9,16.0836065607189
2016/03/02 01:00,-1.72,5.01,5.297027468307107
2016/03/02 02:00,11.31,-7.62,13.637466773561723
2016/03/02 03:00,15.95,-17.33,23.55273657136257
2016/03/02 04:00,17.22,-19.2,25.790858845722838
2016/03/02 05:00,17.17,-18.66,25.357533397394945
2016/03/02 06:00,15.03,-16.43,22.267595290017287
2016/03/02 07:00,11.93,-13.02,17.659142108267886
2016/03/02 08:00,6.93,-8.18,10.72088149360863
2016/03/02 09:00,0.65,-2.67,2.747981077081864
2016/03/02 10:00,-5.45,3.25,6.345470825714984
2016/03/02 11:00,-9.08,8.95,12.749466655511515
2016/03/02 12:00,-9.41,10.81,14.331929388606406
2016/03/02 13:00,-5.07,8.08,9.538935999365966
2016/03/02 14:00,5.11,0.39,5.124860973724068
2016/03/02 15:00,13.85,-10.01,17.088668760321852
2016/03/02 16:00,15.77,-14.93,21.716302631893857
2016/03/02 17:00,16.07,-15.84,22.564363496451655
2016/03/02 18:00,14.18,-14.26,20.110196418732464
2016/03/02 19:00,10.74,-10.66,15.132190852616155
2016/03/02 20:00,5.74,-5.55,7.984365973576112
2016/03/02 21:00,-1.23,0.62,1.3774251340817039
2016/03/02 22:00,-8.62,7.55,11.458922287894268
2016/03/02 23:00,-13.42,12.52,18.353386608470927
2016/03/03 00:00,-13.6,13.32,19.03634418684428
2016/03/03 01:00,-8.44,10.03,13.108565901730058
2016/03/03 02:00,0.02,3.59,3.590055709874152
2016/03/03 03:00,9.39,-5.48,10.872097313766098
2016/03/03 04:00,13.73,-13.76,19.438376989862093
2016/03/03 05:00,15.13,-16.58,22.445785796001886
2016/03/03 06:00,15.06,-16.41,22.273116081949556
2016/03/03 07:00,14.07,-15.33,20.808022491337326
2016/03/03 08:00,12.23,-13.18,17.980136261997572
2016/03/03 09:00,8.78,-9.62,13.024315720988952
2016/03/03 10:00,4.02,-4.59,6.10151620501003
2016/03/03 11:00,-0.82,0.1,0.8260750571225353
2016/03/03 12:00,-5.51,5.37,7.693958668981788
2016/03/03 13:00,-8.11,9.12,12.204363973595674
2016/03/03 14:00,-6.89,9.02,11.350440520085552
2016/03/03 15:00,-1.47,5.04,5.25
2016/03/03 16:00,6.78,-1.82,7.020028489970678
2016/03/03 17:00,12.41,-9.68,15.738821429827585
2016/03/03 18:00,13.62,-13.23,18.987819780059002
2016/03/03 19:00,13.37,-13.75,19.178618302682807
2016/03/03 20:00,11.21,-11.76,16.246898165496084
2016/03/03 21:00,6.82,-7.6,10.211385802132833
2016/03/03 22:00,0.78,-2.12,2.258937803481982
2016/03/03 23:00,-6.75,4.42,8.068388934601504
2016/03/04 00:00,-13.1,10.99,17.0994181187548
2016/03/04 01:00,-16.79,14.54,22.21071137987255
2016/03/04 02:00,-16.47,14.57,21.989674849801666
2016/03/04 03:00,-13.44,12.38,18.272876073568714
2016/03/04 04:00,-6.3,6.53,9.073637638786332
2016/03/04 05:00,3.19,-1.1,3.374329563039153
2016/03/04 06:00,11.41,-10.67,15.621683648057912
2016/03/04 07:00,13.0,-15.1,19.925109786397666
2016/03/04 08:00,13.64,-16.45,21.369419739431393
2016/03/04 09:00,12.67,-15.15,19.74971898534255
2016/03/04 10:00,9.9,-12.18,15.695935779685135
2016/03/04 11:00,4.5,-6.83,8.179174775000225
2016/03/04 12:00,-2.09,-0.72,2.21054291973714
2016/03/04 13:00,-9.17,6.3,11.12559661321585
2016/03/04 14:00,-13.45,11.8,17.892526372762454
2016/03/04 15:00,-14.72,13.41,19.912470966708277
2016/03/04 16:00,-12.11,11.35,16.59742751151515
2016/03/04 17:00,-6.19,6.59,9.041249913590487
2016/03/04 18:00,3.61,-1.35,3.8541665765765756
2016/03/04 19:00,11.75,-10.7,15.891900452746361
2016/03/04 20:00,13.93,-15.02,20.48524591016666
2016/03/04 21:00,13.74,-15.55,20.75066504958335
2016/03/04 22:00,10.87,-12.72,16.73186480939886
2016/03/04 23:00,5.09,-7.19,8.809324605212366
2016/03/05 00:00,-3.06,-0.11,3.0619764858666043
2016/03/05 01:00,-12.14,8.47,14.802719344769056
2016/03/05 02:00,-18.14,15.09,23.595925495729134
2016/03/05 03:00,-19.8,16.86,26.00576090023132
2016/03/05 04:00,-18.23,16.03,24.27537435344716
2016/03/05 05:00,-12.14,11.3,16.585222337973043
2016/03/05 06:00,-1.89,3.19,3.7078565236535246
2016/03/05 07:00,10.64,-8.09,13.36628968711961
2016/03/05 08:00,14.91,-16.3,22.090679029853295
2016/03/05 09:00,15.77,-18.96,24.6611942127708
2016/03/05 10:00,15.53,-18.41,24.085452040599115
2016/03/05 11:00,12.81,-15.44,20.062145947031688
2016/03/05 12:00,6.63,-9.4,11.502908327896906
2016/03/05 13:00,-2.63,-1.31,2.9381967258847728
2016/03/05 14:00,-12.36,8.39,14.93859765841493
2016/03/05 15:00,-17.78,15.46,23.561409125941516
2016/03/05 16:00,-19.37,17.33,25.990879169431725
2016/03/05 17:00,-15.29,14.36,20.976026792507678
2016/03/05 18:00,-6.76,7.55,10.134105781962214
2016/03/05 19:00,6.04,-2.59,6.57188709580437
2016/03/05 20:00,14.95,-13.28,19.996522197622266
2016/03/05 21:00,16.52,-17.87,24.336131574266275
2016/03/05 22:00,16.39,-18.65,24.82850378093694
2016/03/05 23:00,13.03,-15.18,20.00533178930057
2016/03/06 00:00,6.2,-8.25,10.320004844960103
2016/03/06 01:00,-4.44,1.61,4.722891063744749
2016/03/06 02:00,-17.09,13.17,21.575842973103047
2016/03/06 03:00,-25.57,21.07,33.13260931469177
2016/03/06 04:00,-25.9,21.96,33.9566134942812
2016/03/06 05:00,-23.27,20.37,30.926199249180296
2016/03/06 06:00,-17.02,15.41,22.959714719482037
2016/03/06 07:00,-6.64,7.22,9.809077428586237
2016/03/06 08:00,7.61,-4.02,8.606538212312776
2016/03/06 09:00,16.3,-15.56,22.534497997514833
2016/03/06 10:00,17.47,-20.15,26.668772000225278
2016/03/06 11:00,17.53,-20.54,27.00356457951431
2016/03/06 12:00,14.61,-17.03,22.43820402795197
2016/03/06 13:00,7.63,-10.1,12.658076473145515
2016/03/06 14:00,-3.33,-0.37,3.3504925011108444
2016/03/06 15:00,-14.53,11.02,18.23626332338947
2016/03/06 16:00,-21.22,18.66,28.257459192220377
2016/03/06 17:00,-22.03,19.59,29.480315466426067
2016/03/06 18:00,-17.35,15.92,23.5471633111082
2016/03/06 19:00,-7.9,8.29,11.451379829522729
2016/03/06 20:00,6.74,-3.2,7.461072308991517
2016/03/06 21:00,17.97,-17.02,24.750783825972057
2016/03/06 22:00,19.8,-22.32,29.836594979990597
2016/03/06 23:00,20.36,-22.53,30.366601719652465
