date,u,v,uv
2016/08/01 00:00,16.55,-19.25,25.386315211152642
2016/08/01 01:00,10.1,-13.53,16.88404276232443
2016/08/01 02:00,0.88,-4.24,4.330357952871795
2016/08/01 03:00,-10.21,6.55,12.130399828529974
2016/08/01 04:00,-18.83,16.8,25.235072815428925
2016/08/01 05:00,-22.33,20.45,30.279223900225713
2016/08/01 06:00,-19.06,17.89,26.140690503504302
2016/08/01 07:00,-11.06,11.22,15.754745316887863
2016/08/01 08:00,3.11,-0.14,3.113149530620076
2016/08/01 09:00,17.04,-15.79,23.231136433674525
2016/08/01 10:00,19.98,-22.92,30.406032296240166
2016/08/01 11:00,21.08,-23.44,31.524593573906706
2016/08/01 12:00,17.74,-19.84,26.61452986622157
2016/08/01 13:00,11.53,-13.31,17.60957126110684
2016/08/01 14:00,2.03,-4.58,5.0097205510886536
2016/08/01 15:00,-12.73,8.51,15.312511224485682
2016/08/01 16:00,-24.48,20.92,32.20119252450132
2016/08/01 17:00,-27.43,23.99,36.44070526211039
2016/08/01 18:00,-24.38,22.1,32.90584142671328
2016/08/01 19:00,-17.86,16.85,24.554064836600883
2016/08/01 20:00,-4.21,6.62,7.845285208327356
2016/08/01 21:00,13.94,-8.7,16.432090554765086
2016/08/01 22:00,18.37,-21.04,27.930959525229348
2016/08/01 23:00,20.03,-24.32,31.506559634463425
2016/08/02 00:00,19.78,-23.15,30.449481112163472
2016/08/02 01:00,16.81,-19.74,25.927662833352333
2016/08/02 02:00,9.22,-12.17,15.268179328263079
2016/08/02 03:00,-1.73,-2.35,2.918115830463212
2016/08/02 04:00,-15.12,11.03,18.715643189588754
2016/08/02 05:00,-22.86,20.32,30.58565023013243
2016/08/02 06:00,-24.25,21.91,32.68196138544931
2016/08/02 07:00,-19.11,17.89,26.17716944209209
2016/08/02 08:00,-10.18,10.36,14.524530973494462
2016/08/02 09:00,6.92,-3.07,7.570422709466097
2016/08/02 10:00,18.66,-19.06,26.673567440445606
2016/08/02 11:00,21.09,-24.33,32.19840058139534
2016/08/02 12:00,21.83,-24.24,32.620951856130745
2016/08/02 13:00,17.36,-19.55,26.145211798721387
2016/08/02 14:00,10.57,-12.63,16.469420147655473
2016/08/02 15:00,-1.32,-2.27,2.625890325204006
2016/08/02 16:00,-17.28,12.62,21.397728851445894
2016/08/02 17:00,-27.73,23.43,36.30313760544672
2016/08/02 18:00,-28.55,24.88,37.869735937817154
2016/08/02 19:00,-24.46,22.01,32.904888694539
2016/08/02 20:00,-16.76,15.67,22.944421980080474
2016/08/02 21:00,-0.46,3.58,3.6094320882931155
2016/08/02 22:00,16.32,-13.27,21.034146048746546
2016/08/02 23:00,18.74,-22.88,29.575023245975647
2016/08/03 00:00,20.82,-24.91,32.46506584006877
2016/08/03 01:00,19.57,-22.87,30.100196012650816
2016/08/03 02:00,15.77,-18.58,24.37025440983331
2016/08/03 03:00,7.21,-10.24,12.523645635357143
2016/08/03 04:00,-5.62,1.05,5.717245840437509
2016/08/03 05:00,-18.53,15.35,24.06207389233106
2016/08/03 06:00,-25.15,22.59,33.80577761270993
2016/08/03 07:00,-23.78,21.73,32.213061015681205
2016/08/03 08:00,-17.71,16.72,24.35574880803298
2016/08/03 09:00,-6.62,7.41,9.936422897602538
2016/08/03 10:00,12.83,-8.61,15.451245904457025
2016/08/03 11:00,19.9,-22.09,29.731769204001296
2016/08/03 12:00,22.27,-25.13,33.57781708211539
2016/08/03 13:00,21.26,-23.68,31.823419049498753
2016/08/03 14:00,15.89,-17.99,24.002754008654925
2016/08/03 15:00,8.06,-10.35,13.118159169639618
2016/08/03 16:00,-6.33,1.84,6.592002730581958
2016/08/03 17:00,-21.58,17.5,27.78392340905078
2016/08/03 18:00,-28.92,24.65,37.99985394708774
2016/08/03 19:00,-27.83,24.63,37.163769991754066
2016/08/03 20:00,-22.78,20.6,30.713000504672287
2016/08/03 21:00,-12.33,12.34,17.444325725002958
2016/08/03 22:00,6.62,-1.59,6.808267033540915
2016/08/03 23:00,18.22,-18.38,25.880355484420996
2016/08/04 00:00,19.79,-24.48,31.478794449597334
2016/08/04 01:00,21.0,-24.87,32.550221197405094
2016/08/04 02:00,19.07,-22.25,29.304050914506682
2016/08/04 03:00,13.39,-16.29,21.086872693692634
2016/08/04 04:00,3.29,-6.93,7.67131018796659
2016/08/04 05:00,-11.49,6.22,13.065546295505596
2016/08/04 06:00,-22.5,19.67,29.885764169584156
2016/08/04 07:00,-26.32,23.54,35.311103069714484
2016/08/04 08:00,-22.29,20.36,30.188966527524585
2016/08/04 09:00,-15.03,14.23,20.697676198066294
2016/08/04 10:00,-0.09,2.51,2.5116130275183712
2016/08/04 11:00,18.06,-15.5,23.79944537168881
2016/08/04 12:00,21.05,-24.41,32.23275663048384
2016/08/04 13:00,22.9,-25.62,34.36268906823213
2016/08/04 14:00,19.78,-22.26,29.778448582825803
2016/08/04 15:00,14.03,-16.08,21.34027413132268
2016/08/04 16:00,3.71,-6.56,7.536424881865406
2016/08/04 17:00,-13.5,8.5,15.953056133543816
2016/08/04 18:00,-26.42,22.22,34.52165697066118
2016/08/04 19:00,-29.76,25.61,39.26231908586145
2016/08/04 20:00,-26.62,23.85,35.74138917277839
2016/08/04 21:00,-20.91,19.0,28.25293082142099
2016/08/04 22:00,-6.26,7.67,9.900328277385553
2016/08/04 23:00,14.47,-9.18,17.13631523986414
2016/08/05 00:00,19.34,-22.46,29.639284741707247
2016/08/05 01:00,21.26,-25.69,33.3461197142936
2016/08/05 02:00,20.81,-24.27,31.970126681012697
2016/08/05 03:00,17.94,-20.67,27.36955425285549
2016/08/05 04:00,10.73,-13.34,17.119827686048712
2016/08/05 05:00,-1.3,-2.57,2.8800868042473993
2016/08/05 06:00,-16.19,12.17,20.25401194825361
2016/08/05 07:00,-24.69,21.97,33.04961421862591
2016/08/05 08:00,-25.38,22.72,34.063804837393015
2016/08/05 09:00,-19.78,18.25,26.91302472781534
2016/08/05 10:00,-10.1,10.36,14.468572839088171
2016/08/05 11:00,8.89,-4.21,9.83647294511605
2016/08/05 12:00,19.86,-20.62,28.628726831628402
2016/08/05 13:00,21.9,-25.26,33.43168556923207
2016/08/05 14:00,21.88,-24.64,32.952450591723824
2016/08/05 15:00,17.72,-20.16,26.840715340690902
2016/08/05 16:00,11.03,-13.31,17.286324074250143
2016/08/05 17:00,-1.77,-2.21,2.8314307337457505
2016/08/05 18:00,-18.31,13.47,22.73097006288997
2016/08/05 19:00,-28.16,23.86,36.909147917555615
2016/08/05 20:00,-28.49,24.93,37.857429918049114
2016/08/05 21:00,-23.71,21.46,31.979613818806506
2016/08/05 22:00,-15.37,14.57,21.17833326775268
2016/08/05 23:00,2.46,1.41,2.8354364743368876
2016/08/06 00:00,18.73,-16.61,25.034076775467472
2016/08/06 01:00,20.38,-24.57,31.922238330041957
2016/08/06 02:00,21.92,-25.52,33.641593303528296
2016/08/06 03:00,19.71,-22.66,30.032643906256407
2016/08/06 04:00,15.06,-17.56,23.133464937185696
2016/08/06 05:00,6.02,-8.83,10.686875127931458
2016/08/06 06:00,-8.13,3.52,8.859305841881746
2016/08/06 07:00,-20.44,17.52,26.921069815295233
2016/08/06 08:00,-26.21,23.23,35.02280685496238
2016/08/06 09:00,-23.49,21.25,31.675583656816805
2016/08/06 10:00,-16.73,15.71,22.94988017397912
2016/08/06 11:00,-3.57,5.24,6.340544140686981
2016/08/06 12:00,16.22,-12.22,20.308047665888516
2016/08/06 13:00,20.4,-23.43,31.066459405603336
2016/08/06 14:00,21.96,-24.9,33.20017469833555
2016/08/06 15:00,19.98,-22.59,30.158058624520244
2016/08/06 16:00,14.87,-17.09,22.653586912451633
2016/08/06 17:00,6.66,-9.3,11.438776158313441
2016/08/06 18:00,-8.42,3.32,9.050900507684304
2016/08/06 19:00,-22.38,18.34,28.934754189382705
2016/08/06 20:00,-28.13,24.12,37.05497672378165
2016/08/06 21:00,-25.76,22.97,34.51374363930983
2016/08/06 22:00,-19.86,18.08,26.8571405775075
2016/08/06 23:00,-8.29,8.7,12.01724178004254
2016/08/07 00:00,11.64,-6.74,13.450546457300538
2016/08/07 01:00,18.96,-20.82,28.15943891486476
2016/08/07 02:00,20.61,-24.59,32.08489052498076
2016/08/07 03:00,19.91,-23.23,30.594787137680825
2016/08/07 04:00,16.74,-19.42,25.639110749009998
2016/08/07 05:00,10.01,-12.57,16.068758508360254
2016/08/07 06:00,-1.92,-1.86,2.673200329193456
2016/08/07 07:00,-16.31,12.48,20.53695449671153
2016/08/07 08:00,-24.72,21.69,32.88669183727667
2016/08/07 09:00,-25.46,22.34,33.871628245480025
2016/08/07 10:00,-20.9,18.82,28.124764887906174
2016/08/07 11:00,-12.46,11.59,17.017041458490954
2016/08/07 12:00,3.33,-0.77,3.417864830563081
2016/08/07 13:00,18.03,-17.0,24.780655762106054
2016/08/07 14:00,19.56,-22.79,30.032943578677063
2016/08/07 15:00,19.68,-22.61,29.975231441975556
2016/08/07 16:00,16.35,-18.87,24.967967478351138
2016/08/07 17:00,10.47,-12.84,16.56763410991443
2016/08/07 18:00,0.17,-3.67,3.673935219897052
2016/08/07 19:00,-14.64,9.96,17.706812248397508
2016/08/07 20:00,-23.88,20.57,31.51792029941062
2016/08/07 21:00,-25.64,22.54,34.138851767451115
2016/08/07 22:00,-21.97,20.12,29.790859336380347
2016/08/07 23:00,-14.18,13.63,19.668484944194354
2016/08/08 00:00,0.98,1.88,2.1200943375236867
2016/08/08 01:00,17.69,-15.33,23.408225050182683
2016/08/08 02:00,19.33,-22.85,29.929440355609724
2016/08/08 03:00,20.61,-23.86,31.528902613316564
2016/08/08 04:00,18.52,-21.25,28.187814743253863
2016/08/08 05:00,14.2,-16.5,21.769014676829084
2016/08/08 06:00,5.99,-8.59,10.472258591154059
2016/08/08 07:00,-6.5,2.25,6.878408246098802
2016/08/08 08:00,-18.04,15.16,23.564108300548952
2016/08/08 09:00,-24.1,21.31,32.17026732869965
2016/08/08 10:00,-22.1,19.98,29.7927910743522
2016/08/08 11:00,-14.92,14.5,20.805201272758694
2016/08/08 12:00,-1.91,4.39,4.78750456918842
2016/08/08 13:00,15.78,-11.68,19.63239160163631
2016/08/08 14:00,19.35,-21.37,28.828794633144135
2016/08/08 15:00,20.44,-22.81,30.628250031629296
2016/08/08 16:00,18.51,-20.6,27.694405572245095
2016/08/08 17:00,14.51,-16.0,21.599539346939785
2016/08/08 18:00,7.7,-9.33,12.097061626692659
2016/08/08 19:00,-3.83,0.64,3.8831044281605407
2016/08/08 20:00,-15.66,12.81,20.231947508828704
2016/08/08 21:00,-22.14,19.79,29.69551649660265
2016/08/08 22:00,-22.48,20.31,30.29598158172136
2016/08/08 23:00,-16.9,15.88,23.19017895575625
2016/08/09 00:00,-5.49,6.57,8.561833915698202
2016/08/09 01:00,11.53,-7.68,13.853638511235955
2016/08/09 02:00,17.74,-19.98,26.7190568695828
2016/08/09 03:00,19.57,-23.03,30.221942359815326
2016/08/09 04:00,18.95,-21.77,28.86235264146012
2016/08/09 05:00,15.37,-17.76,23.487326369768017
2016/08/09 06:00,9.31,-11.63,14.897415883300031
2016/08/09 07:00,-0.1,-3.01,3.011660671456862
2016/08/09 08:00,-12.19,8.22,14.702533795234071
2016/08/09 09:00,-20.23,17.68,26.866992760634748
2016/08/09 10:00,-22.73,20.01,30.282882953906487
2016/08/09 11:00,-19.32,17.54,26.094328885794322
2016/08/09 12:00,-10.88,10.74,15.28796912608081
2016/08/09 13:00,2.94,0.14,2.9433314458280093
2016/08/09 14:00,15.8,-13.85,21.011009019083303
2016/08/09 15:00,17.05,-19.54,25.932876816890175
2016/08/09 16:00,17.59,-20.28,26.84560485442636
2016/08/09 17:00,15.25,-17.52,23.227416989411456
2016/08/09 18:00,10.75,-12.61,16.57029269506124
2016/08/09 19:00,2.6,-5.15,5.76909871643743
2016/08/09 20:00,-8.31,3.78,9.129320894787302
2016/08/09 21:00,-16.83,13.83,21.783429482062736
2016/08/09 22:00,-20.51,18.03,27.308258824026115
2016/08/09 23:00,-19.4,17.49,26.12010911156383
2016/08/10 00:00,-12.44,11.75,17.111870149109944
2016/08/10 01:00,0.05,1.67,1.670748335327616
2016/08/10 02:00,13.91,-12.25,18.535118019586495
2016/08/10 03:00,16.65,-19.61,25.72498007773767
2016/08/10 04:00,17.72,-20.8,27.32468481062499
2016/08/10 05:00,16.09,-18.69,24.66179636603952
2016/08/10 06:00,11.49,-13.94,18.064985469133376
2016/08/10 07:00,4.28,-7.12,8.307394296649221
2016/08/10 08:00,-6.26,1.93,6.550763314301624
2016/08/10 09:00,-15.51,12.25,19.764174660228036
2016/08/10 10:00,-20.36,17.66,26.951905312982976
2016/08/10 11:00,-20.39,17.92,27.145506073750035
2016/08/10 12:00,-16.07,14.72,21.792735027985817
2016/08/10 13:00,-7.18,7.51,10.39001924926032
2016/08/10 14:00,5.96,-2.87,6.6150207860595565
2016/08/10 15:00,14.21,-13.35,19.497348537685838
2016/08/10 16:00,14.91,-17.15,22.72510946068247
2016/08/10 17:00,14.78,-17.42,22.84523582719163
2016/08/10 18:00,12.38,-14.74,19.249207775906
2016/08/10 19:00,7.68,-9.91,12.537563559160926
2016/08/10 20:00,-0.74,-2.36,2.47329739416836
2016/08/10 21:00,-9.97,6.3,11.793680511189033
2016/08/10 22:00,-15.55,13.6,20.658230805177872
2016/08/10 23:00,-17.7,15.9,23.79285607067802
2016/08/11 00:00,-15.64,14.35,21.225741447591414
2016/08/11 01:00,-8.19,8.14,11.547107863010547
2016/08/11 02:00,3.85,-1.71,4.212671361499732
2016/08/11 03:00,12.9,-12.74,18.13057086801185
2016/08/11 04:00,14.46,-17.05,22.35607523694622
2016/08/11 05:00,14.63,-17.54,22.840501307983587
2016/08/11 06:00,12.81,-15.35,19.99296376228397
2016/08/11 07:00,8.34,-10.8,13.645350856610467
2016/08/11 08:00,1.5,-4.53,4.771886419436238
2016/08/11 09:00,-8.07,3.88,8.954289474882975
2016/08/11 10:00,-15.1,12.2,19.41262475813098
2016/08/11 11:00,-18.57,16.06,24.551344158721736
2016/08/11 12:00,-18.13,16.05,24.21362013413112
2016/08/11 13:00,-13.52,12.64,18.50837648201484
2016/08/11 14:00,-4.77,5.63,7.379010773809725
2016/08/11 15:00,6.7,-3.85,7.727386362800814
2016/08/11 16:00,12.73,-12.42,17.785086449044886
2016/08/11 17:00,13.52,-15.69,20.711506463799296
