date,u,v,uv
2016/06/01 00:00,-6.31,2.69,6.859460620194564
2016/06/01 01:00,-15.98,13.55,20.951441477855408
2016/06/01 02:00,-20.87,18.6,27.955623763386143
2016/06/01 03:00,-19.72,18.04,26.726765610526087
2016/06/01 04:00,-13.8,13.12,19.04138650413882
2016/06/01 05:00,-3.43,4.36,5.547476903962738
2016/06/01 06:00,10.33,-8.22,13.201412803181332
2016/06/01 07:00,15.79,-18.44,24.276690466371235
2016/06/01 08:00,17.82,-21.45,27.886464458586357
2016/06/01 09:00,18.64,-21.18,28.214216274778927
2016/06/01 10:00,15.72,-17.83,23.770302900888748
2016/06/01 11:00,9.14,-11.37,14.588231558348667
2016/06/01 12:00,-0.78,-2.45,2.5711670501933557
2016/06/01 13:00,-13.56,9.55,16.58541829439342
2016/06/01 14:00,-22.25,19.28,29.441142980529815
2016/06/01 15:00,-24.18,21.22,32.17080664204738
2016/06/01 16:00,-21.3,19.23,28.69639175924388
2016/06/01 17:00,-14.6,13.55,19.918898061890875
2016/06/01 18:00,-2.05,3.44,4.004509957535379
2016/06/01 19:00,12.29,-11.07,16.540525989218118
2016/06/01 20:00,16.06,-20.55,26.08114453010067
2016/06/01 21:00,18.68,-22.95,29.591297707265223
2016/06/01 22:00,18.41,-21.37,28.206470888787205
2016/06/01 23:00,15.36,-17.77,23.488348175212323
2016/06/02 00:00,7.28,-10.09,12.442126024116618
2016/06/02 01:00,-4.51,0.07,4.510543204537564
2016/06/02 02:00,-17.17,13.41,21.786165334909217
2016/06/02 03:00,-23.14,20.6,30.98095544039919
2016/06/02 04:00,-22.33,20.25,30.1445086209744
2016/06/02 05:00,-17.39,16.18,23.75298928556151
2016/06/02 06:00,-7.9,8.38,11.516700916495141
2016/06/02 07:00,7.94,-4.18,8.973070823302356
2016/06/02 08:00,16.61,-18.28,24.699200391915525
2016/06/02 09:00,19.24,-22.94,29.940293919732987
2016/06/02 10:00,20.76,-23.27,31.184459270604645
2016/06/02 11:00,17.29,-19.6,26.136260252759957
2016/06/02 12:00,10.44,-12.94,16.62640069287397
2016/06/02 13:00,-0.9,-3.49,3.6041781310029615
