date,u,v,uv
2016/12/01 00:00,22.26,-24.97,33.45158441688525
2016/12/01 01:00,22.26,-24.66,33.22082479409565
2016/12/01 02:00,17.51,-19.75,26.39436682324469
2016/12/01 03:00,11.81,-13.64,18.042330780694606
2016/12/01 04:00,0.61,-3.87,3.9177799836131686
2016/12/01 05:00,-14.87,9.98,17.908581741723715
2016/12/01 06:00,-25.44,21.53,33.32768368788926
2016/12/01 07:00,-26.25,23.05,34.93372296220373
2016/12/01 08:00,-20.37,19.01,27.862465791813907
2016/12/01 09:00,-10.9,11.7,15.990622251807464
2016/12/01 10:00,7.01,-1.79,7.234929163440372
2016/12/01 11:00,21.25,-20.84,29.76353641622581
2016/12/01 12:00,23.56,-25.81,34.94609706390686
2016/12/01 13:00,24.05,-25.98,35.40286570321674
2016/12/01 14:00,21.69,-23.46,31.950394363763337
2016/12/01 15:00,19.33,-20.14,27.915381064925477
2016/12/01 16:00,13.05,-13.24,18.590322751367175
2016/12/01 17:00,2.83,-4.26,5.114342577497131
2016/12/01 18:00,-9.06,6.38,11.080974686371231
2016/12/01 19:00,-16.34,15.48,22.50835400468013
2016/12/01 20:00,-16.08,16.33,22.918012566538135
2016/12/01 21:00,-7.33,9.45,11.95957357099324
2016/12/01 22:00,11.39,-6.85,13.291147429774451
2016/12/01 23:00,20.47,-23.25,30.97714318654966
2016/12/02 00:00,24.69,-26.55,36.25601467343039
2016/12/02 01:00,24.93,-26.51,36.390726840776345
2016/12/02 02:00,20.94,-23.25,31.28971236684671
2016/12/02 03:00,16.07,-18.16,24.24934019720949
2016/12/02 04:00,7.64,-10.45,12.944964271870354
2016/12/02 05:00,-7.31,0.56,7.331418689448857
2016/12/02 06:00,-21.3,15.86,26.556159360871444
2016/12/02 07:00,-26.87,22.33,34.93745554558889
2016/12/02 08:00,-25.04,21.38,32.92576498731654
2016/12/02 09:00,-17.91,16.18,24.136290104322164
2016/12/02 10:00,-6.71,7.77,10.26630410615232
2016/12/02 11:00,11.63,-6.48,13.313425554679759
2016/12/02 12:00,18.72,-20.87,28.035607715903005
2016/12/02 13:00,21.12,-24.87,32.62776884802269
