date,u,v,uv
2016/04/01 00:00,-17.53,15.61,23.47281406222952
2016/04/01 01:00,-11.89,11.37,16.45141331314729
2016/04/01 02:00,-4.39,4.79,6.497399479791896
2016/04/01 03:00,4.79,-3.18,5.749478237196833
2016/04/01 04:00,8.84,-9.73,13.14604503263244
2016/04/01 05:00,8.71,-12.2,14.990133421687746
2016/04/01 06:00,7.39,-11.53,13.694999087258093
2016/04/01 07:00,4.81,-9.14,10.32839290499737
2016/04/01 08:00,-0.71,-4.47,4.526035793053342
2016/04/01 09:00,-11.08,4.69,12.031728886573202
2016/04/01 10:00,-18.59,14.0,23.27204546231379
2016/04/01 11:00,-22.85,18.37,29.318584549735686
2016/04/01 12:00,-23.74,19.09,30.463350111240228
2016/04/01 13:00,-20.83,16.35,26.480396522710908
2016/04/01 14:00,-16.75,12.74,21.044479085974068
2016/04/01 15:00,-11.2,8.33,13.95811233655898
2016/04/01 16:00,-4.72,3.13,5.6635059812805
2016/04/01 17:00,1.91,-2.47,3.1223388669393333
2016/04/01 18:00,5.16,-6.91,8.624018784766184
2016/04/01 19:00,4.23,-7.47,8.584509304555503
2016/04/01 20:00,2.03,-5.73,6.078963727478558
2016/04/01 21:00,-2.65,-1.05,2.850438562747845
2016/04/01 22:00,-11.58,7.05,13.557245295413077
2016/04/01 23:00,-17.49,13.8,22.278691613288245
2016/04/02 00:00,-19.35,16.24,25.261830891683207
2016/04/02 01:00,-16.95,14.81,22.508633899017507
2016/04/02 02:00,-13.16,12.01,17.81644465093976
2016/04/02 03:00,-7.04,6.97,9.906689659013246
2016/04/02 04:00,1.21,0.54,1.3250283015845359
2016/04/02 05:00,10.28,-8.44,13.300827041954946
2016/04/02 06:00,12.65,-13.96,18.838898587762504
2016/04/02 07:00,13.32,-16.11,20.90345665195113
2016/04/02 08:00,13.1,-15.57,20.34784755201395
2016/04/02 09:00,10.67,-13.01,16.82584321809757
2016/04/02 10:00,4.74,-7.29,8.695498835604544
2016/04/02 11:00,-2.7,-0.66,2.7794963572561127
2016/04/02 12:00,-10.65,7.22,12.866658462864397
2016/04/02 13:00,-15.06,12.78,19.75175941530273
2016/04/02 14:00,-16.9,14.8,22.464416306683777
2016/04/02 15:00,-14.07,12.77,19.00099471080396
2016/04/02 16:00,-8.49,8.55,12.049174245565544
2016/04/02 17:00,0.47,1.19,1.2794530081249564
2016/04/02 18:00,10.4,-8.61,13.5015591692219
2016/04/02 19:00,13.5,-14.17,19.571379614120207
2016/04/02 20:00,13.34,-15.17,20.201101455118728
2016/04/02 21:00,11.46,-13.34,17.586563052512563
2016/04/02 22:00,6.43,-8.26,10.467688379007086
2016/04/02 23:00,-2.33,0.05,2.330536418938782
2016/04/03 00:00,-12.35,9.44,15.544648596864452
2016/04/03 01:00,-18.66,15.75,24.41839675326781
2016/04/03 02:00,-20.77,17.81,27.36035452986675
2016/04/03 03:00,-19.06,16.82,25.420385520286665
2016/04/03 04:00,-14.71,13.24,19.7909499519351
2016/04/03 05:00,-7.64,7.17,10.477523562369115
2016/04/03 06:00,3.24,-1.47,3.5578785814021257
2016/04/03 07:00,11.5,-10.85,15.81051865056931
2016/04/03 08:00,13.26,-15.45,20.360012278974686
2016/04/03 09:00,13.65,-16.78,21.630785931167644
2016/04/03 10:00,12.04,-15.19,19.382922896199116
2016/04/03 11:00,6.18,-9.54,11.366793743180175
2016/04/03 12:00,-2.35,-1.94,3.0473102894191793
2016/04/03 13:00,-12.24,7.46,14.334196873211976
2016/04/03 14:00,-19.05,15.32,24.445958766225555
2016/04/03 15:00,-22.3,18.6,29.038767191463208
2016/04/03 16:00,-20.75,18.06,27.50865500165357
2016/04/03 17:00,-16.95,15.13,22.720462143187138
2016/04/03 18:00,-8.63,7.99,11.760824801007793
2016/04/03 19:00,3.82,-1.89,4.261983106489279
2016/04/03 20:00,12.32,-11.54,16.880580558736714
2016/04/03 21:00,14.59,-16.46,21.995447256193724
2016/04/03 22:00,14.58,-17.14,22.502355432265308
2016/04/03 23:00,10.61,-12.76,16.594869689153935
2016/04/04 00:00,2.66,-5.17,5.8141637403843385
2016/04/04 01:00,-8.79,4.63,9.93483769369183
2016/04/04 02:00,-17.78,14.77,23.11452573599554
2016/04/04 03:00,-22.26,19.16,29.37027749273064
2016/04/04 04:00,-21.79,19.38,29.161421433119475
2016/04/04 05:00,-16.68,15.48,22.756379325367206
2016/04/04 06:00,-7.52,8.17,11.104021793926739
2016/04/04 07:00,6.97,-3.08,7.6201902863379996
2016/04/04 08:00,16.46,-15.66,22.71931336990623
2016/04/04 09:00,17.77,-20.97,27.486611286224424
2016/04/04 10:00,18.67,-21.67,28.603457832926427
2016/04/04 11:00,16.98,-19.5,25.856728331326067
2016/04/04 12:00,11.02,-13.6,17.504296615402744
2016/04/04 13:00,1.96,-5.37,5.716511173784234
2016/04/04 14:00,-10.13,5.08,11.332400451801904
2016/04/04 15:00,-18.76,15.82,24.539967400141347
2016/04/04 16:00,-22.53,19.79,29.98741402655454
2016/04/04 17:00,-20.6,18.41,27.627669101826164
2016/04/04 18:00,-13.38,12.5,18.31049972010595
2016/04/04 19:00,-1.06,2.78,2.9752310834622575
2016/04/04 20:00,13.91,-12.54,18.728045813698767
2016/04/04 21:00,17.8,-21.5,27.912183719659055
2016/04/04 22:00,20.29,-23.36,30.94145600969676
2016/04/04 23:00,18.58,-21.05,28.077017291728122
2016/04/05 00:00,13.21,-15.54,20.395972641676103
2016/04/05 01:00,4.0,-7.2,8.2365041127896
2016/04/05 02:00,-10.45,4.34,11.315392171727852
2016/04/05 03:00,-21.4,17.3,27.518175811634027
2016/04/05 04:00,-26.02,22.16,34.177565741287076
2016/04/05 05:00,-24.21,21.32,32.25936298193131
2016/04/05 06:00,-18.1,16.57,24.539252229845964
2016/04/05 07:00,-7.54,8.5,11.362288501882004
2016/04/05 08:00,9.62,-4.61,10.66754423473369
2016/04/05 09:00,17.91,-18.9,26.038012596970606
2016/04/05 10:00,20.12,-23.84,31.195512497793654
2016/04/05 11:00,21.13,-23.89,31.893714114226334
2016/04/05 12:00,18.42,-20.67,27.686554498528707
2016/04/05 13:00,11.44,-13.51,17.702929136162748
2016/04/05 14:00,0.21,-3.36,3.366556103795093
2016/04/05 15:00,-14.36,9.93,17.45893753926624
2016/04/05 16:00,-23.39,20.34,30.996898231919918
2016/04/05 17:00,-25.69,22.61,34.22262701780797
2016/04/05 18:00,-21.89,19.98,29.63734974656135
2016/04/05 19:00,-13.21,13.15,18.63938303699991
2016/04/05 20:00,2.67,1.09,2.8839209420509433
2016/04/05 21:00,18.89,-16.78,25.26658861025762
2016/04/05 22:00,21.12,-24.28,32.18031696549927
2016/04/05 23:00,22.68,-25.26,33.947753975778724
2016/04/06 00:00,19.85,-22.11,29.713205818288944
2016/04/06 01:00,13.7,-15.55,20.724200828982525
2016/04/06 02:00,3.59,-6.27,7.225025951510485
2016/04/06 03:00,-12.67,7.24,14.592686524420374
2016/04/06 04:00,-24.35,20.24,31.663545284759252
2016/04/06 05:00,-28.14,23.94,36.94567904369874
2016/04/06 06:00,-25.48,22.35,33.89325744156203
2016/04/06 07:00,-18.5,16.96,25.09764132343914
2016/04/06 08:00,-5.27,6.8,8.603075031638395
2016/04/06 09:00,14.82,-9.73,17.728657591594466
2016/04/06 10:00,20.16,-22.86,30.479586611369914
2016/04/06 11:00,23.11,-26.37,35.06349954012006
2016/04/06 12:00,22.44,-25.13,33.69080735156105
2016/04/06 13:00,18.11,-20.42,27.293744704602187
2016/04/06 14:00,9.46,-11.97,15.256883692287886
2016/04/06 15:00,-5.69,0.78,5.743213386249897
2016/04/06 16:00,-21.04,16.5,26.738204876169227
2016/04/06 17:00,-29.4,24.53,38.289435879887286
2016/04/06 18:00,-28.41,24.56,37.554250092366374
2016/04/06 19:00,-23.76,21.02,31.723461349606858
2016/04/06 20:00,-14.41,13.35,19.64358928505684
2016/04/06 21:00,5.32,-1.39,5.498590728541269
2016/04/06 22:00,20.57,-19.9,28.620532839204795
2016/04/06 23:00,22.62,-26.17,34.590942456082345
2016/04/07 00:00,23.31,-26.14,35.02364487028727
